,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sorry,0.705,0.64,11.0,-6.928,0.0,0.225,0.0237,0.0,0.262,0.887,144.077,audio_features,7gvd8xj4QgPqbQSsn5pV7d,spotify:track:7gvd8xj4QgPqbQSsn5pV7d,https://api.spotify.com/v1/tracks/7gvd8xj4QgPqbQSsn5pV7d,https://api.spotify.com/v1/audio-analysis/7gvd8xj4QgPqbQSsn5pV7d,203760.0,4.0
Look Where You Got Me,0.616,0.316,0.0,-16.623,0.0,0.0433,0.39399999999999996,0.0009720000000000001,0.145,0.447,154.995,audio_features,3qMq2EQbIzvL2VyATlOdNO,spotify:track:3qMq2EQbIzvL2VyATlOdNO,https://api.spotify.com/v1/tracks/3qMq2EQbIzvL2VyATlOdNO,https://api.spotify.com/v1/audio-analysis/3qMq2EQbIzvL2VyATlOdNO,188604.0,4.0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),0.696,0.8170000000000001,1.0,-3.862,1.0,0.109,0.075,0.0,0.187,0.782,98.064,audio_features,6kex4EBAj0WHXDKZMEJaaF,spotify:track:6kex4EBAj0WHXDKZMEJaaF,https://api.spotify.com/v1/tracks/6kex4EBAj0WHXDKZMEJaaF,https://api.spotify.com/v1/audio-analysis/6kex4EBAj0WHXDKZMEJaaF,216409.0,4.0
X (with 2 Chainz & Saudi),0.768,0.47100000000000003,2.0,-8.406,1.0,0.259,0.0201,0.0,0.268,0.405,131.023,audio_features,4LmAnpjlhWTahvRkYR8xJa,spotify:track:4LmAnpjlhWTahvRkYR8xJa,https://api.spotify.com/v1/tracks/4LmAnpjlhWTahvRkYR8xJa,https://api.spotify.com/v1/audio-analysis/4LmAnpjlhWTahvRkYR8xJa,267427.0,4.0
A Sweeter Place (feat. Kid Cudi),0.583,0.777,10.0,-6.9910000000000005,0.0,0.185,0.109,0.000509,0.10800000000000001,0.31,190.054,audio_features,4bb94wZVF1cX66vQjNeJTX,spotify:track:4bb94wZVF1cX66vQjNeJTX,https://api.spotify.com/v1/tracks/4bb94wZVF1cX66vQjNeJTX,https://api.spotify.com/v1/audio-analysis/4bb94wZVF1cX66vQjNeJTX,263306.0,4.0
L.A.LOVE (la la) - Jodie Harsh Remix,0.784,0.917,4.0,-3.1,0.0,0.0613,0.10800000000000001,0.00419,0.255,0.8140000000000001,107.01,audio_features,29K2vQGru9koGG5bsdE7jl,spotify:track:29K2vQGru9koGG5bsdE7jl,https://api.spotify.com/v1/tracks/29K2vQGru9koGG5bsdE7jl,https://api.spotify.com/v1/audio-analysis/29K2vQGru9koGG5bsdE7jl,208907.0,4.0
"Slow Down (feat. Boef, Ronnie Flex, Ali B & I am Aisha)",0.84,0.73,1.0,-4.181,1.0,0.0598,0.0814,4.45e-06,0.106,0.654,105.016,audio_features,6oU6OTnU945Dz59dCa45Gq,spotify:track:6oU6OTnU945Dz59dCa45Gq,https://api.spotify.com/v1/tracks/6oU6OTnU945Dz59dCa45Gq,https://api.spotify.com/v1/audio-analysis/6oU6OTnU945Dz59dCa45Gq,201714.0,4.0
10 Bands,0.825,0.7559999999999999,11.0,-3.687,0.0,0.38299999999999995,0.265,2.15e-06,0.0762,0.888,172.938,audio_features,12d5QFwzh60IIHlsSnAvps,spotify:track:12d5QFwzh60IIHlsSnAvps,https://api.spotify.com/v1/tracks/12d5QFwzh60IIHlsSnAvps,https://api.spotify.com/v1/audio-analysis/12d5QFwzh60IIHlsSnAvps,177733.0,4.0
Play With Fire,0.573,0.539,2.0,-6.091,0.0,0.0322,0.0162,1.1599999999999999e-05,0.105,0.39,75.012,audio_features,7vguMCv8uVuZLiQJ156u3Z,spotify:track:7vguMCv8uVuZLiQJ156u3Z,https://api.spotify.com/v1/tracks/7vguMCv8uVuZLiQJ156u3Z,https://api.spotify.com/v1/audio-analysis/7vguMCv8uVuZLiQJ156u3Z,180691.0,4.0
Easier to Run - Live LP Underground Tour 2003,0.499,0.92,3.0,-4.723,0.0,0.0589,0.0714,0.0,0.11599999999999999,0.315,105.01799999999999,audio_features,3wB4NxEEDV0UHDFaEVfFMZ,spotify:track:3wB4NxEEDV0UHDFaEVfFMZ,https://api.spotify.com/v1/tracks/3wB4NxEEDV0UHDFaEVfFMZ,https://api.spotify.com/v1/audio-analysis/3wB4NxEEDV0UHDFaEVfFMZ,202467.0,4.0
Startender (feat. Offset and Tyga),0.736,0.622,6.0,-4.6530000000000005,0.0,0.133,0.0235,0.0,0.151,0.506,191.97099999999998,audio_features,0jAfdqv18goRTUxm3ilRjb,spotify:track:0jAfdqv18goRTUxm3ilRjb,https://api.spotify.com/v1/tracks/0jAfdqv18goRTUxm3ilRjb,https://api.spotify.com/v1/audio-analysis/0jAfdqv18goRTUxm3ilRjb,192779.0,4.0
Joan of Arc,0.915,0.6679999999999999,1.0,-2.52,1.0,0.04,0.00375,0.0024100000000000002,0.253,0.0387,124.053,audio_features,5mrOnabhXnvCf5vFF7NJhG,spotify:track:5mrOnabhXnvCf5vFF7NJhG,https://api.spotify.com/v1/tracks/5mrOnabhXnvCf5vFF7NJhG,https://api.spotify.com/v1/audio-analysis/5mrOnabhXnvCf5vFF7NJhG,145161.0,4.0
Summerboy,0.7340000000000001,0.77,1.0,-4.775,0.0,0.0324,0.00307,0.0,0.0824,0.6859999999999999,104.999,audio_features,1c31md8UrbHONSycrFi3Jy,spotify:track:1c31md8UrbHONSycrFi3Jy,https://api.spotify.com/v1/tracks/1c31md8UrbHONSycrFi3Jy,https://api.spotify.com/v1/audio-analysis/1c31md8UrbHONSycrFi3Jy,253947.0,4.0
Asking 4 It,0.7020000000000001,0.722,0.0,-4.882,1.0,0.0444,0.0299,0.0,0.249,0.537,139.989,audio_features,7uM3Y0mSRa4tZZ9ONBPyd7,spotify:track:7uM3Y0mSRa4tZZ9ONBPyd7,https://api.spotify.com/v1/tracks/7uM3Y0mSRa4tZZ9ONBPyd7,https://api.spotify.com/v1/audio-analysis/7uM3Y0mSRa4tZZ9ONBPyd7,210547.0,4.0
Say You Will,0.593,0.43,0.0,-8.977,1.0,0.0431,0.304,0.0,0.0896,0.0955,122.09,audio_features,5vDjcNbN4m9fxWcrpR64Wu,spotify:track:5vDjcNbN4m9fxWcrpR64Wu,https://api.spotify.com/v1/tracks/5vDjcNbN4m9fxWcrpR64Wu,https://api.spotify.com/v1/audio-analysis/5vDjcNbN4m9fxWcrpR64Wu,207898.0,4.0
"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)",0.691,0.524,5.0,-9.718,1.0,0.16,0.19699999999999998,4.29e-05,0.488,0.41,164.047,audio_features,011ZwIM48eD8ee2UBpG8nK,spotify:track:011ZwIM48eD8ee2UBpG8nK,https://api.spotify.com/v1/tracks/011ZwIM48eD8ee2UBpG8nK,https://api.spotify.com/v1/audio-analysis/011ZwIM48eD8ee2UBpG8nK,392187.0,4.0
REMEDY,0.55,0.9520000000000001,8.0,-4.664,1.0,0.0924,0.000193,0.000666,0.0614,0.391,127.804,audio_features,5ynxx6zC4dgzsMHLYQ04Dc,spotify:track:5ynxx6zC4dgzsMHLYQ04Dc,https://api.spotify.com/v1/tracks/5ynxx6zC4dgzsMHLYQ04Dc,https://api.spotify.com/v1/audio-analysis/5ynxx6zC4dgzsMHLYQ04Dc,207213.0,4.0
Changed It,0.807,0.64,11.0,-8.329,0.0,0.39899999999999997,0.628,0.0,0.115,0.649,143.98,audio_features,63NTlJWNS65JjsE3QJYr20,spotify:track:63NTlJWNS65JjsE3QJYr20,https://api.spotify.com/v1/tracks/63NTlJWNS65JjsE3QJYr20,https://api.spotify.com/v1/audio-analysis/63NTlJWNS65JjsE3QJYr20,295653.0,4.0
